dataset,model,rmse,rank
california,PyGAM,1.428598,35
california,DT_mini,0.797055,25
california,DT_large,0.784121,23
california,OLS,2.191360,57
california,LassoCV,2.087627,49
california,RidgeCV,2.178053,53
california,RF,0.718275,9
california,GBM,0.650275,2
california,MLP,1.088485,31
california,FIGS_mini,0.754661,17
california,FIGS_large,0.737994,14
california,RuleFit,0.741651,15
california,HSTree_mini,0.795105,24
california,HSTree_large,0.768189,21
california,EBM,0.660017,3
california,TabPFN,0.603801,1
california,DecisionTreeSimple,0.806478,26
california,SparseAddHinge_v1,1.463675,36
california,ResidualRuleLin_v1,2.055259,45
california,SparseSymAdd_v2,2.321580,64
california,StagewisePiece_v1,2.135722,50
california,SparseRootLin_v1,0.729691,13
california,SparseTailHinge_v1,,
california,SparseTailHinge_v2,2.250644,63
california,MonoBinAdd_v1,0.743171,16
california,OrthoPieceAdd_v1,2.058252,46
california,SparseHierInter_v1,2.171486,52
california,SparseOrthoPoly_v1,0.850424,29
california,GateLinTree_v1,2.062730,47
california,AdaptiveCalSparse_v1,0.712968,5
california,ResQuantRule_v1,0.810578,27
california,SparseCalHinge_v1,0.712859,4
california,QuantSparseSymbolic_v1,0.768235,22
california,SparseBackfitBins_v1,0.713438,7
california,HingeSplineRule_v1,0.758268,18
california,SparseResidInter_v1,2.538726,66
california,SparsePwAnchor_v1,1.186453,33
california,SparseGateResid_v1,2.011684,40
california,FeatMapInter_v1,0.713371,6
california,DistillSparseRidge_v1,2.017333,41
california,PrunedSymRidge_v1,2.028407,44
california,GreedyHingeEq_v1,0.714210,8
california,SparseBinShape_v1,1.745069,37
california,HybridRidgeHinge_v1,2.027601,43
california,StableSparseLOORidge_v1,2.191701,60
california,SpectralPruneRidge_v1,2.191468,58
california,DualMapStabilityRidge_v1,0.726026,10
california,SparseMedianHinge_v1,2.464883,65
california,ResidualSnapSpline_v1,2.166854,51
california,BaggedMedianStableRidge_v1,2.222152,62
california,StabWeightRidge_v1,2.191521,59
california,RidgeGarroteStable_v1,2.179194,54
california,AdaptiveSplineRidge_v1,2.068816,48
california,SparseQuantileGAM_v1,0.837483,28
california,ResidualRuleRidgeHybrid_v1,2.185742,55
california,SparseSmoothBackfit_v1,0.760475,20
california,BasisSwitchRidge_v1,111.871244,67
california,HuberRidgeIRLS_v1,0.728404,12
california,ResidualTanhRidge_v1,2.191226,56
california,SparseResidualQuadRidge_v1,1.881557,38
california,ComplexityDistilledRidge_v1,2.025163,42
california,SparseTailSplineRidge_v1,1.203929,34
california,AdaptiveWeightedGCVRidge_v1,2.192030,61
california,CompactResidualHingeAdd_v1,1.087691,30
california,TriRegionGateSparse_v1,1.967420,39
california,SignalWeightedTrimmedRidge_v1,0.726541,11
california,SparseKnotAdditive_v1,1.134987,32
california,BoostedBinPair_v1,,
california,BoostedBinPair_v2,0.760170,19
abalone,PyGAM,0.705364,7
abalone,DT_mini,0.794185,59
abalone,DT_large,0.797057,60
abalone,OLS,0.721231,40
abalone,LassoCV,0.720338,28
abalone,RidgeCV,0.721876,42
abalone,RF,0.732093,50
abalone,GBM,0.735919,52
abalone,MLP,0.708886,11
abalone,FIGS_mini,0.793158,58
abalone,FIGS_large,0.801452,62
abalone,RuleFit,0.784597,57
abalone,HSTree_mini,0.800492,61
abalone,HSTree_large,0.769955,56
abalone,EBM,0.710895,14
abalone,TabPFN,0.670875,1
abalone,DecisionTreeSimple,0.804593,63
abalone,SparseAddHinge_v1,0.710212,13
abalone,ResidualRuleLin_v1,0.731468,49
abalone,SparseSymAdd_v2,0.717583,22
abalone,StagewisePiece_v1,0.718045,24
abalone,SparseRootLin_v1,0.708185,10
abalone,SparseTailHinge_v1,,
abalone,SparseTailHinge_v2,0.735294,51
abalone,MonoBinAdd_v1,0.830583,66
abalone,OrthoPieceAdd_v1,0.711098,15
