dataset,model,rmse,rank
abalone,AdaptRidgeRF_v1,0.712090,22
abalone,AdaptRidgeRF_v2,0.712877,25
abalone,BaggedRidgeRF_v1,0.713347,35
abalone,BayesRidgeRF_v1,0.713657,42
abalone,BinnedRidgeGAM_v1,0.765080,83
abalone,BoostedStumpGAM_v1,0.764272,82
abalone,ClippedRidge_v1,0.719998,65
abalone,CorrSparseRidge_v1,0.720978,71
abalone,CyclicBoostGAM_v1,0.783653,85
abalone,DT_large,0.797057,90
abalone,DT_mini,0.794185,88
abalone,DecisionTreeSimple,0.804593,93
abalone,DistillGBM_Ridge_v1,0.735919,78
abalone,EBM,0.710895,19
abalone,ElasticSelectRidge_v1,0.720978,72
abalone,FIGS_large,0.801452,92
abalone,FIGS_mini,0.793158,87
abalone,FineRidgeRF_v1,0.711018,20
abalone,FineRidgeRF_v2,0.713591,39
abalone,GBM,0.735919,79
abalone,GreedyRules_v1,0.881548,95
abalone,HSTree_large,0.769955,84
abalone,HSTree_mini,0.800492,91
abalone,HingeBasisRidge_v1,0.691584,2
abalone,HuberRidgeIRLS_v1,0.722081,75
abalone,InteractRidgeRF_v1,0.713715,43
abalone,IterRidge_v1,0.795315,89
abalone,LassoCV,0.720338,67
abalone,MLP,0.708886,12
abalone,MonotoneRidgeRF_v1,0.845885,94
abalone,NormalEqRidge_v1,0.720978,69
abalone,OLS,0.721231,73
abalone,OLSdispRF_v1,0.713041,28
abalone,PiecewiseLinear_v1,0.716309,57
abalone,PyGAM,0.705364,8
abalone,RF,0.732093,77
abalone,RFERidgeRF_v1,0.713585,38
abalone,ResidualBoostedRidge_v1,0.720978,70
abalone,RidgeCV,0.721876,74
abalone,RidgeEBMResid_v1,0.714382,50
abalone,RidgeETResid_v1,0.713656,41
abalone,RidgeFIGSResid_v1,0.700607,4
abalone,RidgeGBMFull_v1,0.739960,81
abalone,RidgeGBMResid_max,0.738519,80
abalone,RidgeGBMResid_v1,0.709668,17
abalone,RidgeGBMResid_v2,0.718293,62
abalone,RidgeGBMResid_v3,0.720066,66
abalone,RidgeGBMResid_v4,0.719782,64
abalone,RidgeGBMResid_v5,0.717247,59
abalone,RidgeGBMResid_v6,0.718576,63
abalone,RidgeGBMStump_v1,0.717628,60
abalone,RidgeHGBResid_v1,0.708890,13
abalone,RidgeLassoRF_v1,0.713160,32
abalone,RidgeMultiRF_v1,0.714303,48
abalone,RidgePlusTree_v1,0.709998,18
abalone,RidgeRF40_v1,0.713328,34
abalone,RidgeRF60_v1,0.713520,37
abalone,RidgeRF80pct_v1,0.713950,47
abalone,RidgeRFAdaptSize_v1,0.713041,29
