dataset,model,rmse,rank
california,PyGAM,1.428598,21
california,DT_mini,0.797055,15
california,DT_large,0.784121,12
california,OLS,2.191360,44
california,LassoCV,2.087627,30
california,RidgeCV,2.178053,37
california,RF,0.718275,4
california,GBM,0.650275,2
california,MLP,1.088485,19
california,FIGS_mini,0.754661,8
california,FIGS_large,0.737994,6
california,RuleFit,0.741651,7
california,HSTree_mini,0.795105,14
california,HSTree_large,0.768189,11
california,EBM,0.660017,3
california,TabPFN,0.603801,1
california,DecisionTreeSimple,0.806478,16
california,SparseBasisPursuitV1,257.058499,71
california,GreedyKnotAdditiveV1,1.943351,25
california,SparseSymbolicAdditiveV2,84.613448,67
california,ResidualRuleLinearV1,2.182609,38
california,SparseHingeInteractionV1,1.047816,18
california,RawSymbolicFSV1,2.420107,61
california,OrthoSymbolicV1,135.571548,68
california,OrthoSymbolicV2,135.571548,69
california,KnotSparseAdditiveV1,2.034807,29
california,SparseLinearRuleGateV1,2.222222,54
california,GlobalRidgeOneHingeV1,1.890664,23
california,StabilitySparseHingeV1,2.250641,57
california,SparseAdditiveInteractionV1,2.383401,60
california,StabilityPiecewiseSparseV1,1.478315,22
california,GCVSparseHingeRidgeV1,2.208134,53
california,BiRegionSparseLinearV1,2.005615,27
california,QuantizedSparseRidgeV1,2.120493,31
california,AdaptiveRidgeOneHingeV1,2.158603,34
california,RobustSparseRidgeIRLSV1,2.577235,65
california,DenseRidgeResidualBasisV1,2.240633,56
california,GreedyAdditiveSplineV1,2.190227,40
california,CalibratedSparseRidgeMapV1,2.192029,50
california,AdaptiveElasticHingeMapV1,2.142979,32
california,SparseSingleIndexSplineV1,0.791429,13
california,SplitCalibratedSparseLinearV1,2.176898,36
california,AdaptiveWeightedRidgeSparseV1,2.193017,51
california,SparseSymbolicAtlasV1,0.758795,9
california,ResidualizedHingeRidgeV2,1.967683,26
california,StagewiseSymbolicV1,2.017797,28
california,ResidualTreeSparseLinearV1,2.147219,33
california,RiskCalibratedSparseRidgeV1,2.191356,43
california,SVDGCVRidgeMapV1,2.191701,48
california,RobustAdaptiveLinearMapV1,2.260962,58
california,SparseAdditiveBasisPursuitV1,0.723736,5
california,RidgeOneHingeResidualV1,2.190579,41
california,StabilityRuleListRidgeV1,2.184896,39
california,InteractionAugmentedRidgeV1,2.191701,49
california,MassConservingGCVRidgeV1,2.196636,52
california,SparseQuantileAdditiveV1,0.759313,10
california,CalibratedDominantHingeRidgeV1,2.191535,47
california,ValGatedSparseHingeRidgeV1,2.158640,35
california,SymbolicResidualRidgeV1,2.538136,63
