dataset,model,rmse,rank
california,PyGAM,1.428598,35
california,DT_mini,0.797055,27
california,DT_large,0.784121,25
california,OLS,2.191360,51
california,LassoCV,2.087627,45
california,RidgeCV,2.178053,48
california,RF,0.718275,17
california,GBM,0.650275,8
california,MLP,1.088485,33
california,FIGS_mini,0.754661,21
california,FIGS_large,0.737994,19
california,RuleFit,0.741651,20
california,HSTree_mini,0.795105,26
california,HSTree_large,0.768189,22
california,EBM,0.660017,13
california,TabPFN,0.603801,1
california,DecisionTreeSimple,0.806478,29
california,SparseHingeOMP_q2575_v1,1.678594,36
california,LinResStumpOMP_v1,2.796420,56
california,SparseKnotAbsInt_v1,0.797099,28
california,SparseLinHingeRefine_v1,1.884319,39
california,RuleGateSparseLin_v1,2.172552,47
california,SparseRidgeHingeGCV_v1,2.117409,46
california,RidgeResidualSymbolic_v1,2.262637,54
california,DenseSplineResidual_v1,1.977416,42
california,SparseModelTree_v1,2.371991,55
california,QuantizedSparseBasis_v1,1.747050,37
california,StagewiseHingeAdditive_v1,1.220884,34
california,SparseTriBinAdditive_v1,2.190592,50
california,ValidatedSparseSpline_v1,1.955423,41
california,SnapRidgeOneKnot_v1,2.178697,49
california,DenseRidgeAdaptiveSpline_v1,2.037596,43
california,ComplexityRoundedRidge_v1,2.198968,53
california,SparseSignedBasisPursuit_v1,0.771977,23
california,CompactSplineRidge_v1,96.865135,57
california,OrthSparseAdditive_v1,2.039573,44
california,CognitiveRidgeOneHinge_v1,1.880698,38
california,AnchorSplineRidge_v1,1.952867,40
california,MDLHybridSymbolic_v1,2.191701,52
california,DualPathBoostedSymbolic_v1,0.656487,10
california,DistilledSparsePiecewise_v1,0.650175,7
california,TeacherStudentRuleSpline_v1,0.645465,4
california,TeacherStudentSpectralRuleSpline_v1,0.646961,5
california,TeacherStudentCompactDistill_v1,0.780157,24
california,CalibratedSparseHingeStudent_v1,0.979216,32
california,SparseGateDistilledBoost_v1,0.725129,18
california,TransparentDistilledForestBoost_v1,0.704888,16
california,DualPathSparseSymbolic_v1,,
california,DualPathSparseSymbolic_v2,0.812934,30
california,HGBLinearAuditAtlas_v1,0.661418,14
california,CalibratedBoostAuditAtlas_v1,0.650989,9
california,ValGatedTeacherAuditAtlas_v1,0.656874,12
california,AdaptiveStackedTeacherAuditAtlas_v1,0.640669,2
california,TabPFNResidualAuditAtlas_v1,0.939991,31
california,CalibratedTabPFNForestAtlas_v1,0.671617,15
california,RegimeMixtureTeacherAuditAtlas_v1,0.642240,3
california,DisagreementRoutedSimplexAtlas_v2,0.649422,6
california,GeoUncertaintyRegimeAtlas_v1,0.656663,11
abalone,PyGAM,0.705364,8
abalone,DT_mini,0.794185,53
abalone,DT_large,0.797057,54
abalone,OLS,0.721231,31
abalone,LassoCV,0.720338,29
abalone,RidgeCV,0.721876,33
abalone,RF,0.732093,44
abalone,GBM,0.735919,46
abalone,MLP,0.708886,11
abalone,FIGS_mini,0.793158,52
abalone,FIGS_large,0.801452,56
abalone,RuleFit,0.784597,51
abalone,HSTree_mini,0.800492,55
abalone,HSTree_large,0.769955,50
abalone,EBM,0.710895,12
abalone,TabPFN,0.670875,1
abalone,DecisionTreeSimple,0.804593,57
abalone,SparseHingeOMP_q2575_v1,0.704109,7
abalone,LinResStumpOMP_v1,0.762369,49
abalone,SparseKnotAbsInt_v1,0.718100,26
abalone,SparseLinHingeRefine_v1,0.703659,6
abalone,RuleGateSparseLin_v1,0.718289,27
abalone,SparseRidgeHingeGCV_v1,0.711554,13
abalone,RidgeResidualSymbolic_v1,0.720315,28
abalone,DenseSplineResidual_v1,0.717373,22
abalone,SparseModelTree_v1,0.707408,10
abalone,QuantizedSparseBasis_v1,0.716173,19
abalone,StagewiseHingeAdditive_v1,0.731977,43
abalone,SparseTriBinAdditive_v1,0.716664,20
abalone,ValidatedSparseSpline_v1,0.722095,34
