dataset,model,rmse,rank
california,PyGAM,1.428598,22
california,DT_mini,0.797055,14
california,DT_large,0.784121,12
california,OLS,2.191360,45
california,LassoCV,2.087627,34
california,RidgeCV,2.178053,40
california,RF,0.718275,4
california,GBM,0.650275,2
california,MLP,1.088485,18
california,FIGS_mini,0.754661,9
california,FIGS_large,0.737994,5
california,RuleFit,0.741651,8
california,HSTree_mini,0.795105,13
california,HSTree_large,0.768189,11
california,EBM,0.660017,3
california,TabPFN,0.603801,1
california,DecisionTreeSimple,0.806478,15
california,SparseHingeAdd_v1,1.406571,21
california,SparseSymbolicGreedy_v1,2.089936,35
california,AnchorSplineOMP_v1,1.719046,27
california,ResidualKnotRidge_v1,0.959599,17
california,SplitSparseLinear_v1,2.472508,57
california,SparseKnotLinear_v2,2.286940,54
california,CompactResidualSpline_v1,2.255573,53
california,SparseAdditiveKnot_v1,1.448234,23
california,CompactRuleLinear_v1,2.358758,55
california,ResidualBasisRidge_v1,2.035982,33
california,SparseResidualHybrid_v1,1.863135,28
california,ValidatedSymbolicResidual_v1,1.964259,32
california,SparseRidgeOneHinge_v1,2.227276,52
california,DenseBackboneHingePair_v1,1.945818,31
california,ScreenedAdaptiveBasis_v1,178.552170,60
california,SparseQuantizedKnot_v1,1.715180,26
california,SymbolicResidualHybridDense_v1,2.154205,39
california,BackfitHingeGAM_v1,16.199581,59
california,ProjectedSplineResidual_v1,0.812707,16
california,SparseSignedHingeDict_v1,0.756883,10
california,SparsePairwiseSpline_v1,1.641298,24
california,QuantizedAdaptiveRidge_v1,2.097540,36
california,QuantizedAdaptiveRidge_v2,2.097540,37
california,DenseRidgeOneKnot_v1,,
california,DenseRidgeOneKnot_v2,1.919428,29
california,LinearStepRule_v1,2.107221,38
california,TwinHingeAdditiveRidge_v1,1.944664,30
california,AdditiveStepRidge_v1,2.185333,42
california,ScoreSplineLinear_v1,2.191701,46
california,AdaptiveStepLinear_v1,2.191701,47
california,DebiasedSparseLinear_v1,2.191356,44
california,SpectralRidgeCV_v1,2.191701,48
california,ResidualStumpRidge_v1,2.189146,43
california,SingleIndexSpline_v1,0.740059,6
california,SingleIndexSpline_v2,0.740059,7
california,GreedyMedianHinge_v1,2.393832,56
california,RobustAdaptiveLinear_v1,2.194550,50
california,SparseAdditiveHingeRidge_v1,1.197178,19
california,LinearBoostedRules_v1,2.202753,51
california,SparseMeanHingeAdditive_v1,1.671061,25
california,SplitLinearModelTree_v1,2.647316,58
california,OrthogonalRidgeEquation_v1,2.191701,49
california,SparseAdaptiveSplineRidge_v1,1.371613,20
california,SparseLinearRuleBoost_v1,2.183118,41
abalone,PyGAM,0.705364,7
abalone,DT_mini,0.794185,55
abalone,DT_large,0.797057,56
abalone,OLS,0.721231,34
abalone,LassoCV,0.720338,31
abalone,RidgeCV,0.721876,39
abalone,RF,0.732093,42
abalone,GBM,0.735919,43
abalone,MLP,0.708886,9
abalone,FIGS_mini,0.793158,54
abalone,FIGS_large,0.801452,58
abalone,RuleFit,0.784597,52
abalone,HSTree_mini,0.800492,57
abalone,HSTree_large,0.769955,50
abalone,EBM,0.710895,11
abalone,TabPFN,0.670875,1
abalone,DecisionTreeSimple,0.804593,59
abalone,SparseHingeAdd_v1,0.702031,5
abalone,SparseSymbolicGreedy_v1,0.763449,49
abalone,AnchorSplineOMP_v1,0.725396,40
abalone,ResidualKnotRidge_v1,0.706670,8
abalone,SplitSparseLinear_v1,0.760526,48
abalone,SparseKnotLinear_v2,0.770287,51
abalone,CompactResidualSpline_v1,0.750654,45
abalone,SparseAdditiveKnot_v1,0.720506,32
abalone,CompactRuleLinear_v1,0.759343,47
abalone,ResidualBasisRidge_v1,0.717026,21
abalone,SparseResidualHybrid_v1,0.715744,18
abalone,ValidatedSymbolicResidual_v1,0.704286,6
abalone,SparseRidgeOneHinge_v1,0.715200,17
abalone,DenseBackboneHingePair_v1,0.712245,12
abalone,ScreenedAdaptiveBasis_v1,0.698593,3
abalone,SparseQuantizedKnot_v1,0.716053,20
abalone,SymbolicResidualHybridDense_v1,0.736768,44
abalone,BackfitHingeGAM_v1,1.856020,60
abalone,ProjectedSplineResidual_v1,0.788860,53
abalone,SparseSignedHingeDict_v1,0.721463,36
abalone,SparsePairwiseSpline_v1,0.709485,10
abalone,QuantizedAdaptiveRidge_v1,0.720262,29
abalone,QuantizedAdaptiveRidge_v2,0.720262,30
abalone,DenseRidgeOneKnot_v1,,
abalone,DenseRidgeOneKnot_v2,0.714178,16
abalone,LinearStepRule_v1,0.719651,24
abalone,TwinHingeAdditiveRidge_v1,0.712768,14
abalone,AdditiveStepRidge_v1,0.712326,13
