dataset,model,rmse,rank
abalone,DT_large,0.797057,39
abalone,DT_mini,0.794185,38
abalone,DistilledGAM_v1,0.701419,8
abalone,EBM,0.710895,11
abalone,FIGS_large,0.801452,41
abalone,FIGS_mini,0.793158,37
abalone,FullPWC_LinDisp,0.768379,27
abalone,GBM,0.735919,17
abalone,HSTree_large,0.769955,33
abalone,HSTree_mini,0.800492,40
abalone,HingeEBM_5bag,0.692791,3
abalone,HingeEBM_LinDisp,0.696496,4
abalone,HingeEBM_big,0.692503,2
abalone,HingeEBM_smart,0.696496,5
abalone,HingeEBM_v1,0.697747,6
abalone,HingeGBM_v1,0.701038,7
abalone,LassoCV,0.720338,12
abalone,MLP,0.708886,10
abalone,OLS,0.721231,13
abalone,PyGAM,0.705364,9
abalone,RF,0.732093,16
abalone,RidgeCV,0.721876,14
abalone,RuleFit,0.784597,36
abalone,SklearnGAM_hybrid,0.769750,32
abalone,SklearnStumpGAM_v1,0.768690,31
abalone,SmartAddGAM_r90,0.759865,22
abalone,SmartAdditive_v1,0.768379,26
abalone,SmartAdditive_v2,0.770820,35
abalone,SmartAdditive_v5,0.770820,34
abalone,SmoothGAM_40s,0.757529,21
abalone,SmoothGAM_50s,0.756340,20
abalone,SmoothGAM_ES,0.761560,24
abalone,SmoothGAM_RF,0.736909,19
abalone,SmoothGAM_RF100,0.736084,18
abalone,SmoothGAM_RF_sqrt,0.729316,15
abalone,SmoothGAM_hybrid,0.768578,29
abalone,SmoothGAM_noES,0.768578,28
abalone,SmoothGAM_r70hyb,0.768578,30
abalone,SmoothGAM_tinyGBM,0.761645,25
abalone,SmoothGAM_v1,0.761560,23
abalone,TabPFN,0.670875,1
california,DT_large,0.784121,18
california,DT_mini,0.797055,20
california,DistilledGAM_v1,0.861019,21
california,EBM,0.660017,3
california,FIGS_large,0.737994,14
california,FIGS_mini,0.754661,16
california,FullPWC_LinDisp,0.702194,6
california,GBM,0.650275,2
california,HSTree_large,0.768189,17
california,HSTree_mini,0.795105,19
california,HingeEBM_5bag,1.545006,24
california,HingeEBM_LinDisp,1.549375,27
california,HingeEBM_big,1.546584,26
california,HingeEBM_smart,1.549375,28
california,HingeEBM_v1,1.573951,29
california,HingeGBM_v1,1.545802,25
california,LassoCV,2.087627,39
california,MLP,1.088485,22
california,OLS,2.191360,41
california,PyGAM,1.428598,23
california,RF,0.718275,13
